typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20240101","2024","1","202401","156","CHN","China","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4124050","false","8","kg","4124050","false","4124050","false","0","false","64972733",,"64972733","0","true","false",
"C","M","20240101","2024","1","202401","251","FRA","France","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","160480","false","8","kg","160480","false","160480","false","0","false","2927288.638",,"2927288.638","0","false","true",
"C","M","20240101","2024","1","202401","276","DEU","Germany","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1050","false","8","kg","1050","false","1050","false","0","false","34860.449",,"34860.449","0","false","true",
"C","M","20240101","2024","1","202401","392","JPN","Japan","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","938000","false","8","kg","938000","false","938000","false","0","false","19185663.859",,"19185663.859","0","true","false",
"C","M","20240101","2024","1","202401","410","KOR","Rep. of Korea","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","198000","false","8","kg","198000","false","198000","false","0","false","6468066",,"6468066","0","true","false",
"C","M","20240101","2024","1","202401","724","ESP","Spain","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60000","false","8","kg","60000","false","60000","false","0","false","767265.619",,"767265.619","0","false","true",
"C","M","20240101","2024","1","202401","826","GBR","United Kingdom","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12200","false","8","kg","12200","false","12200","false","0","false","337860.748",,"337860.748","0","false","true",
"C","M","20240101","2024","1","202401","842","USA","USA","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","936181","false","8","kg","936181","false","936181","false","0","false","10795039","10653200","10795039","0","true","false",
"C","M","20240201","2024","2","202402","124","CAN","Canada","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","200","false","8","kg","200","false","200","false","0","false",,"18912.212","18912.212","0","false","true",
"C","M","20240201","2024","2","202402","156","CHN","China","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2475510","false","8","kg","2475510","false","2475510","false","0","false","30499418",,"30499418","0","true","false",
"C","M","20240201","2024","2","202402","276","DEU","Germany","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1050","false","8","kg","1050","false","1050","false","0","false","39699.72",,"39699.72","0","false","true",
"C","M","20240201","2024","2","202402","392","JPN","Japan","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1571000","false","8","kg","1571000","false","1571000","false","0","false","27614239.332",,"27614239.332","0","true","false",
"C","M","20240201","2024","2","202402","410","KOR","Rep. of Korea","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","396000","false","8","kg","396000","false","396000","false","0","false","12940584",,"12940584","0","true","false",
"C","M","20240201","2024","2","202402","528","NLD","Netherlands","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","71","false","8","kg","71","false","71","false","0","false","938.061",,"938.061","0","true","false",
"C","M","20240201","2024","2","202402","724","ESP","Spain","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60000","false","8","kg","60000","false","60000","false","0","false","747364.438",,"747364.438","0","false","true",
"C","M","20240201","2024","2","202402","826","GBR","United Kingdom","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","200","false","8","kg","200","false","200","false","0","false","7926",,"7926","0","false","true",
"C","M","20240201","2024","2","202402","842","USA","USA","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","565667","false","8","kg","565667","false","565667","false","0","false","6528717","6470000","6528717","0","true","false",
"C","M","20240301","2024","3","202403","124","CAN","Canada","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","325","false","8","kg","325","false","325","false","0","false",,"25332.835","25332.835","0","false","true",
"C","M","20240301","2024","3","202403","156","CHN","China","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2494010","false","8","kg","2494010","false","2494010","false","0","false","34559084",,"34559084","0","true","false",
"C","M","20240301","2024","3","202403","203","CZE","Czechia","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40","false","8","kg","40","false","40","false","0","false","831","774","831","0","false","true",
"C","M","20240301","2024","3","202403","251","FRA","France","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","76.105",,"76.105","0","false","true",
"C","M","20240301","2024","3","202403","276","DEU","Germany","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17301","false","8","kg","17301","false","17301","false","0","false","393310.533",,"393310.533","0","false","true",
"C","M","20240301","2024","3","202403","352","ISL","Iceland","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1996","false","8","kg","1996","false","1996","false","0","false","40077.848","39117.615","40077.848","0","true","false",
"C","M","20240301","2024","3","202403","392","JPN","Japan","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","304000","false","8","kg","304000","false","304000","false","0","false","3369501.186",,"3369501.186","0","true","false",
"C","M","20240301","2024","3","202403","410","KOR","Rep. of Korea","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3.105","false","8","kg","3.105","false","3.105","false","0","false","318",,"318","0","true","false",
"C","M","20240301","2024","3","202403","504","MAR","Morocco","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","500","false","8","kg","500","false","500","false","0","false","19712.95",,"19712.95","0","true","false",
"C","M","20240301","2024","3","202403","554","NZL","New Zealand","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25.831","true","8","kg","0","false","25.831","true","0","false","463.974","335.498","463.974","6","true","false",
"C","M","20240301","2024","3","202403","579","NOR","Norway","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12","false","8","kg","12","false","12","false","0","false","120.302",,"120.302","0","false","true",
"C","M","20240301","2024","3","202403","724","ESP","Spain","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40025","false","8","kg","40025","false","40025","false","0","false","483705.678",,"483705.678","0","false","true",
"C","M","20240301","2024","3","202403","764","THA","Thailand","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","48000","false","8","kg","48000","false","48000","false","0","false","792800.9",,"792800.9","0","false","true",
"C","M","20240301","2024","3","202403","826","GBR","United Kingdom","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18400","false","8","kg","18400","false","18400","false","0","false","459362.705",,"459362.705","0","false","true",
"C","M","20240301","2024","3","202403","842","USA","USA","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","672253","false","8","kg","672253","false","672253","false","0","false","7678625","7600888","7678625","0","true","false",
"C","M","20240401","2024","4","202404","32","ARG","Argentina","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","81.2","false","8","kg","81.2","false","81.2","false","0","false","1759.27","1240.59","1759.27","0","false","true",
"C","M","20240401","2024","4","202404","124","CAN","Canada","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","200","false","8","kg","200","false","200","false","0","false",,"18843.657","18843.657","0","false","true",
"C","M","20240401","2024","4","202404","156","CHN","China","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3406010","false","8","kg","3406010","false","3406010","false","0","false","42367168",,"42367168","0","true","false",
