typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20230101","2023","1","202301","36","AUS","Australia","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17663.8","false","8","kg","17663.8","false","17663.8","false","2501","false","177571.034","176377.921","177571.034","0","false","true",
"C","M","20230101","2023","1","202301","124","CAN","Canada","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","166270","false","8","kg","166270","false","166270","false","0","false",,"719068.902","719068.902","0","false","true",
"C","M","20230101","2023","1","202301","156","CHN","China","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1369210","false","8","kg","1369210","false","1369210","false","0","false","42345987",,"42345987","0","true","false",
"C","M","20230101","2023","1","202301","251","FRA","France","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20000","false","8","kg","20000","false","20000","false","0","false","1045201.448",,"1045201.448","0","false","true",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1056000","false","8","kg","1056000","false","1056000","false","0","false","45797807.89",,"45797807.89","0","true","false",
"C","M","20230101","2023","1","202301","410","KOR","Rep. of Korea","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","414001","false","8","kg","414001","false","414001","false","0","false","18534068",,"18534068","0","true","false",
"C","M","20230101","2023","1","202301","826","GBR","United Kingdom","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11600","false","8","kg","11600","false","11600","false","0","false","838554.542",,"838554.542","0","false","true",
"C","M","20230101","2023","1","202301","842","USA","USA","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","986214","false","8","kg","986214","false","986214","false","0","false","9289817","9032940","9289817","0","true","false",
"C","M","20230201","2023","2","202302","156","CHN","China","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","993886","false","8","kg","993886","false","993886","false","0","false","35809755",,"35809755","0","true","false",
"C","M","20230201","2023","2","202302","251","FRA","France","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20250","false","8","kg","20250","false","20250","false","0","false","1338774.596",,"1338774.596","0","false","true",
"C","M","20230201","2023","2","202302","380","ITA","Italy","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","300","false","8","kg","300","false","300","false","0","false",,"27963.196","27963.196","0","true","false",
"C","M","20230201","2023","2","202302","392","JPN","Japan","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","78000","false","8","kg","78000","false","78000","false","0","false","4882708.279",,"4882708.279","0","true","false",
"C","M","20230201","2023","2","202302","410","KOR","Rep. of Korea","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","36001.7","false","8","kg","36001.7","false","36001.7","false","0","false","2797676",,"2797676","0","true","false",
"C","M","20230201","2023","2","202302","724","ESP","Spain","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.9","false","8","kg","0.9","false","0.9","false","0","false","98.858",,"98.858","0","false","true",
"C","M","20230201","2023","2","202302","826","GBR","United Kingdom","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9825","false","8","kg","9825","false","9825","false","0","false","719180.768",,"719180.768","0","false","true",
"C","M","20230201","2023","2","202302","842","USA","USA","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1306882","false","8","kg","1306882","false","1306882","false","0","false","12954896","12691340","12954896","0","true","false",
"C","M","20230301","2023","3","202303","36","AUS","Australia","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","62552.3","false","8","kg","62552.3","false","62552.3","false","8337","false","602454.143","601090.878","602454.143","0","false","true",
"C","M","20230301","2023","3","202303","124","CAN","Canada","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","70452","false","8","kg","70452","false","70452","false","0","false",,"299033.64","299033.64","0","false","true",
"C","M","20230301","2023","3","202303","156","CHN","China","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1625020","false","8","kg","1625020","false","1625020","false","0","false","51735259",,"51735259","0","true","false",
"C","M","20230301","2023","3","202303","251","FRA","France","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40000","false","8","kg","40000","false","40000","false","0","false","2679758.177",,"2679758.177","0","false","true",
"C","M","20230301","2023","3","202303","392","JPN","Japan","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","480000","false","8","kg","480000","false","480000","false","0","false","25572927.909",,"25572927.909","0","true","false",
"C","M","20230301","2023","3","202303","410","KOR","Rep. of Korea","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","72000.9","false","8","kg","72000.9","false","72000.9","false","0","false","2956845",,"2956845","0","true","false",
"C","M","20230301","2023","3","202303","699","IND","India","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15000","false","8","kg","15000","false","15000","false","0","false","1022237.453",,"1022237.453","0","false","true",
"C","M","20230301","2023","3","202303","724","ESP","Spain","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25","false","8","kg","25","false","25","false","0","false","2228.953",,"2228.953","0","false","true",
"C","M","20230301","2023","3","202303","842","USA","USA","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","832942","false","8","kg","832942","false","832942","false","0","false","9254914","9075700","9254914","0","true","false",
"C","M","20230401","2023","4","202304","156","CHN","China","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","946000","false","8","kg","946000","false","946000","false","0","false","22709494",,"22709494","0","true","false",
"C","M","20230401","2023","4","202304","251","FRA","France","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40016","false","8","kg","40016","false","40016","false","0","false","2298613.025",,"2298613.025","0","false","true",
"C","M","20230401","2023","4","202304","276","DEU","Germany","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","691","false","8","kg","691","false","691","false","0","false","16166.423",,"16166.423","0","false","true",
"C","M","20230401","2023","4","202304","392","JPN","Japan","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","318000","false","8","kg","318000","false","318000","false","0","false","18092686.005",,"18092686.005","0","true","false",
"C","M","20230401","2023","4","202304","410","KOR","Rep. of Korea","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","612011","false","8","kg","612011","false","612011","false","0","false","26522086",,"26522086","0","true","false",
"C","M","20230401","2023","4","202304","554","NZL","New Zealand","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","300","false","8","kg","300","false","300","false","993","false","28718.857","28675.365","28718.857","0","true","false",
"C","M","20230401","2023","4","202304","579","NOR","Norway","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6775","false","8","kg","6775","false","6775","false","0","false","504962.466",,"504962.466","0","false","true",
"C","M","20230401","2023","4","202304","724","ESP","Spain","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100000","false","8","kg","100000","false","100000","false","0","false","5207354.514",,"5207354.514","0","false","true",
"C","M","20230401","2023","4","202304","826","GBR","United Kingdom","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","142000","false","8","kg","142000","false","142000","false","0","false","8270618.513",,"8270618.513","0","false","true",
"C","M","20230401","2023","4","202304","842","USA","USA","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","237628","false","8","kg","237628","false","237628","false","0","false","2714847","2674000","2714847","0","true","false",
"C","M","20230501","2023","5","202305","36","AUS","Australia","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17022.04","false","8","kg","17022.04","false","17022.04","false","2060","false","163597.235","162686.792","163597.235","0","false","true",
"C","M","20230501","2023","5","202305","124","CAN","Canada","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false",,"9.618","9.618","0","false","true",
"C","M","20230501","2023","5","202305","156","CHN","China","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1196000","false","8","kg","1196000","false","1196000","false","0","false","34308348",,"34308348","0","true","false",
"C","M","20230501","2023","5","202305","276","DEU","Germany","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5","false","8","kg","5","false","5","false","0","false","98.894",,"98.894","0","false","true",
